iter	RMSE
0	0.223562573
1	0.2235597777
2	0.2235573913
3	0.2235556115
4	0.2235533545
5	0.2235506113
6	0.2235485294
7	0.2235463684
8	0.2235447163
9	0.2235430744
10	0.2235414412
11	0.2235397073
12	0.2235379916
13	0.2235360282
14	0.2235342626
15	0.2235323975
16	0.2235309083
17	0.2235291746
18	0.2235276042
19	0.2235259842
20	0.2235241649
21	0.2235226858
22	0.2235209212
23	0.2235188621
24	0.2235174318
25	0.2235157668
26	0.2235143005
27	0.2235129851
28	0.2235115641
29	0.2235104189
30	0.2235085676
31	0.2235071641
32	0.2235054066
33	0.223504227
34	0.2235032394
35	0.2235019914
36	0.223501007
37	0.2234997217
38	0.2234983788
39	0.2234971941
40	0.2234960198
41	0.2234949934
42	0.2234939304
43	0.2234926324
44	0.2234914135
45	0.223489844
46	0.2234883799
47	0.2234872613
48	0.223486307
49	0.2234853767
50	0.2234841451
51	0.2234832672
52	0.2234824986
53	0.223481477
54	0.2234802744
55	0.2234791087
56	0.2234780786
57	0.2234768311
58	0.2234756893
59	0.2234745194
60	0.2234733298
61	0.223472053
62	0.2234708563
63	0.2234695945
64	0.2234686211
65	0.2234676514
66	0.2234664545
67	0.2234655213
68	0.2234642355
69	0.2234634211
70	0.2234622853
71	0.2234610897
72	0.2234602866
73	0.2234594696
74	0.2234587014
75	0.2234575419
76	0.2234564831
77	0.2234557023
78	0.2234547462
79	0.2234538917
80	0.2234531909
81	0.2234523297
82	0.2234515086
83	0.2234506495
84	0.2234497522
85	0.2234487555
86	0.2234473023
87	0.2234460387
88	0.2234452223
89	0.223444489
90	0.2234436748
91	0.2234428186
92	0.2234418242
93	0.2234408497
94	0.2234400849
95	0.2234391814
96	0.2234384375
97	0.2234375229
98	0.2234366554
99	0.2234355576
100	0.2234347303
101	0.2234337118
102	0.2234325127
103	0.223431706
104	0.2234306882
105	0.2234297527
106	0.22342883
107	0.2234279257
108	0.2234271244
109	0.2234261989
110	0.2234253522
111	0.2234243824
112	0.2234233929
113	0.2234224547
114	0.2234215597
115	0.2234207288
116	0.223419928
117	0.2234191386
118	0.2234183354
119	0.2234176332
120	0.2234168389
121	0.2234159192
122	0.2234152492
123	0.2234144155
124	0.2234133895
125	0.2234124757
126	0.2234115273
127	0.2234107951
128	0.2234100728
129	0.2234089436
130	0.2234078886
131	0.2234069229
132	0.2234060856
133	0.2234050312
134	0.2234042486
135	0.2234034914
136	0.2234025335
137	0.2234016832
138	0.2234009181
139	0.2234000692
140	0.2233992709
141	0.2233986162
142	0.2233977234
143	0.2233966278
144	0.2233959002
145	0.2233948493
146	0.2233941052
147	0.2233934632
148	0.2233927592
149	0.2233917836
150	0.223391095
151	0.2233898957
152	0.2233889889
153	0.2233882308
154	0.223387601
155	0.2233866899
156	0.2233856237
157	0.2233848454
158	0.2233839578
159	0.2233834981
160	0.223382882
161	0.2233821182
162	0.2233812766
163	0.2233805501
164	0.2233797953
165	0.2233786911
166	0.2233780446
167	0.2233773274
168	0.2233765846
169	0.2233757892
170	0.2233750497
171	0.2233742539
172	0.2233735639
173	0.2233726994
174	0.223371747
175	0.2233708196
176	0.2233700031
177	0.2233693773
178	0.2233686562
179	0.2233680124
180	0.2233672247
181	0.2233665441
182	0.223365839
183	0.2233650626
184	0.2233644096
185	0.2233637248
186	0.2233630035
187	0.2233620713
188	0.2233613913
189	0.2233608434
190	0.2233601236
191	0.2233593591
192	0.2233586881
193	0.2233580956
194	0.2233576372
195	0.2233569031
196	0.2233563333
197	0.2233557009
198	0.223354864
199	0.2233540807
200	0.2233534266
201	0.2233525545
202	0.2233519601
203	0.2233512419
204	0.2233504476
205	0.2233498668
206	0.2233492594
207	0.2233485969
208	0.2233479436
209	0.2233473017
210	0.2233467962
211	0.2233461475
212	0.2233455287
213	0.2233448746
214	0.2233440252
215	0.223343247
216	0.2233426962
217	0.223341791
218	0.2233411375
219	0.223340417
220	0.2233397317
221	0.2233388784
222	0.223338342
223	0.2233376908
224	0.2233368567
225	0.2233362622
226	0.2233356182
227	0.2233350202
228	0.2233342346
229	0.223333588
230	0.223332907
231	0.2233323784
232	0.2233315116
233	0.223330967
234	0.2233302234
235	0.2233295971
236	0.2233290628
237	0.2233284109
238	0.2233277372
239	0.22332705
240	0.2233263776
241	0.2233258591
242	0.2233250767
243	0.2233245038
244	0.223323796
245	0.2233232215
246	0.2233224228
247	0.223321706
248	0.2233210424
249	0.2233204667
