iter	Passed	Remaining
0	105	26391
1	176	21944
2	237	19525
3	309	19028
4	379	18614
5	459	18680
6	532	18471
7	611	18508
8	687	18402
9	763	18325
10	839	18233
11	920	18254
12	1004	18321
13	1087	18338
14	1176	18432
15	1258	18402
16	1345	18437
17	1431	18445
18	1509	18354
19	1615	18577
20	1699	18534
21	1793	18585
22	1884	18600
23	1980	18648
24	2067	18604
25	2145	18481
26	2235	18461
27	2304	18273
28	2407	18346
29	2489	18254
30	2569	18148
31	2651	18062
32	2745	18050
33	2822	17932
34	2903	17838
35	2976	17692
36	3071	17681
37	3147	17560
38	3235	17505
39	3306	17359
40	3390	17284
41	3462	17149
42	3550	17091
43	3623	16965
44	3717	16933
45	3802	16861
46	3878	16750
47	3956	16652
48	4037	16563
49	4118	16474
50	4201	16395
51	4272	16268
52	4354	16185
53	4436	16101
54	4521	16029
55	4604	15951
56	4675	15832
57	4769	15787
58	4848	15694
59	4938	15638
60	5027	15575
61	5117	15516
62	5196	15424
63	5286	15362
64	5371	15286
65	5452	15201
66	5538	15128
67	5617	15035
68	5713	14987
69	5801	14918
70	5882	14829
71	5976	14774
72	6058	14690
73	6153	14634
74	6232	14543
75	6317	14462
76	6410	14402
77	6508	14351
78	6594	14274
79	6678	14190
80	6755	14094
81	6839	14012
82	6918	13920
83	6997	13827
84	7075	13735
85	7170	13673
86	7260	13603
87	7341	13514
88	7422	13426
89	7506	13344
90	7584	13251
91	7668	13169
92	7763	13105
93	7849	13026
94	7927	12934
95	8011	12851
96	8090	12760
97	8171	12674
98	8256	12593
99	8338	12507
100	8413	12411
101	8503	12338
102	8584	12251
103	8680	12186
104	8797	12149
105	8882	12066
106	8958	11972
107	9038	11884
108	9118	11796
109	9209	11721
110	9299	11645
111	9382	11560
112	9472	11483
113	9544	11386
114	9630	11305
115	9713	11220
116	9810	11152
117	9894	11068
118	9978	10984
119	10071	10910
120	10166	10838
121	10255	10759
122	10341	10677
123	10432	10600
124	10513	10513
125	10601	10433
126	10683	10347
127	10761	10256
128	10845	10172
129	10939	10098
130	11017	10008
131	11098	9921
132	11192	9845
133	11270	9756
134	11351	9669
135	11424	9576
136	11516	9498
137	11598	9413
138	11676	9324
139	11753	9234
140	11844	9156
141	11927	9071
142	12015	8990
143	12095	8903
144	12178	8818
145	12267	8738
146	12343	8648
147	12428	8565
148	12522	8488
149	12600	8400
150	12692	8321
151	12777	8238
152	12866	8157
153	12940	8066
154	13027	7984
155	13119	7905
156	13196	7817
157	13286	7736
158	13369	7651
159	13447	7564
160	13539	7484
161	13622	7399
162	13710	7317
163	13789	7231
164	13879	7150
165	13968	7068
166	14059	6987
167	14133	6898
168	14219	6815
169	14291	6725
170	14369	6638
171	14445	6550
172	14528	6466
173	14604	6378
174	14688	6294
175	14775	6212
176	14865	6131
177	14945	6045
178	15023	5959
179	15104	5874
180	15193	5791
181	15275	5707
182	15351	5620
183	15431	5535
184	15514	5451
185	15592	5365
186	15672	5280
187	15753	5195
188	15837	5111
189	15908	5023
190	15992	4939
191	16073	4855
192	16158	4772
193	16237	4687
194	16321	4603
195	16398	4518
196	16496	4438
197	16585	4355
198	16669	4272
199	16755	4188
200	16834	4103
201	16913	4018
202	16998	3935
203	17082	3851
204	17173	3769
205	17251	3684
206	17324	3598
207	17396	3512
208	17480	3429
209	17561	3345
210	17642	3260
211	17714	3175
212	17807	3093
213	17884	3008
214	17967	2924
215	18057	2842
216	18149	2760
217	18233	2676
218	18327	2594
219	18407	2510
220	18490	2426
221	18574	2342
222	18662	2259
223	18741	2175
224	18835	2092
225	18924	2009
226	19001	1925
227	19091	1842
228	19185	1759
229	19259	1674
230	19333	1590
231	19413	1506
232	19502	1422
233	19582	1338
234	19654	1254
235	19736	1170
236	19834	1087
237	19914	1004
238	19997	920
239	20080	836
240	20168	753
241	20254	669
242	20330	585
243	20407	501
244	20506	418
245	20579	334
246	20660	250
247	20744	167
248	20836	83
249	20926	0
